stage,count,notes
records identified: Scopus,,
records identified: Web of Science Core Collection,,
duplicates removed,,
records screened (title and abstract),,
records excluded at screening,,
full-text reports sought,,
reports not retrieved,,
full-text reports assessed for eligibility,,
excluded at full text: review or tutorial,,
excluded at full text: no emotion-decoding experiment,,
excluded at full text: no EEG-only result on DEAP DREAMER or SEED-family,,
excluded at full text: duplicate or extended version of an included study,,
eligible studies,,
studies in the seeded random coding sample,,
studies coded by both coders,,
